route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,shape_id,wheelchair_accessible,bikes_allowed
A,1000_1,1000_1,Warszawa Śródmieście WKD,1000,1,0,1,1
A,1001_1,1001_1,Grodzisk Mazowiecki Radońska,1001,0,1,1,1
A,1002_1,1002_1,Warszawa Śródmieście WKD,1002,1,0,1,1
A,1003_1,1003_1,Grodzisk Mazowiecki Radońska,1003,0,1,1,1
A,1004_1,1004_1,Warszawa Śródmieście WKD,1004,1,0,1,1
A,1005_1,1005_1,Grodzisk Mazowiecki Radońska,1005,0,1,1,1
A,1006_1,1006_1,Warszawa Śródmieście WKD,1006,1,0,1,1
A,1007_1,1007_1,Grodzisk Mazowiecki Radońska,1007,0,1,1,1
A,1008_1,1008_1,Warszawa Śródmieście WKD,1008,1,0,1,1
A,1009_1,1009_1,Grodzisk Mazowiecki Radońska,1009,0,1,1,1
A,100_1,100_1,Warszawa Śródmieście WKD,100,1,0,1,1
A,1010_1,1010_1,Warszawa Śródmieście WKD,1010,1,0,1,1
A,1011_1,1011_1,Grodzisk Mazowiecki Radońska,1011,0,1,1,1
A,1012_1,1012_1,Warszawa Śródmieście WKD,1012,1,0,1,1
A,1013_1,1013_1,Grodzisk Mazowiecki Radońska,1013,0,1,1,1
A,1014_1,1014_1,Warszawa Śródmieście WKD,1014,1,0,1,1
A,1015_1,1015_1,Grodzisk Mazowiecki Radońska,1015,0,1,1,1
A,1016_1,1016_1,Warszawa Śródmieście WKD,1016,1,0,1,1
A,1017_1,1017_1,Grodzisk Mazowiecki Radońska,1017,0,1,1,1
A,1018_1,1018_1,Warszawa Śródmieście WKD,1018,1,0,1,1
A,1019_1,1019_1,Grodzisk Mazowiecki Radońska,1019,0,1,1,1
A,101_1,101_1,Grodzisk Mazowiecki Radońska,101,0,1,1,1
A,1020_1,1020_1,Warszawa Śródmieście WKD,1020,1,0,1,1
A,1021_1,1021_1,Grodzisk Mazowiecki Radońska,1021,0,1,1,1
A,1022_1,1022_1,Warszawa Śródmieście WKD,1022,1,0,1,1
A,1023_1,1023_1,Grodzisk Mazowiecki Radońska,1023,0,1,1,1
A,1024_1,1024_1,Warszawa Śródmieście WKD,1024,1,0,1,1
A,1025_1,1025_1,Grodzisk Mazowiecki Radońska,1025,0,1,1,1
A,1026_1,1026_1,Warszawa Śródmieście WKD,1026,1,0,1,1
A,1027_1,1027_1,Grodzisk Mazowiecki Radońska,1027,0,1,1,1
A,1028_1,1028_1,Warszawa Śródmieście WKD,1028,1,0,1,1
A,1029_1,1029_1,Grodzisk Mazowiecki Radońska,1029,0,1,1,1
A,102_1,102_1,Warszawa Śródmieście WKD,102,1,0,1,1
A,1030_1,1030_1,Warszawa Śródmieście WKD,1030,1,0,1,1
A,1031_1,1031_1,Grodzisk Mazowiecki Radońska,1031,0,1,1,1
A,1032_1,1032_1,Warszawa Śródmieście WKD,1032,1,0,1,1
A,1033_1,1033_1,Grodzisk Mazowiecki Radońska,1033,0,1,1,1
A,1034_1,1034_1,Warszawa Śródmieście WKD,1034,1,0,1,1
A,1035_1,1035_1,Grodzisk Mazowiecki Radońska,1035,0,1,1,1
A,1036_1,1036_1,Warszawa Śródmieście WKD,1036,1,0,1,1
A,1037_1,1037_1,Grodzisk Mazowiecki Radońska,1037,0,1,1,1
A,1038_1,1038_1,Warszawa Śródmieście WKD,1038,1,0,1,1
A,1039_1,1039_1,Grodzisk Mazowiecki Radońska,1039,0,1,1,1
A,103_1,103_1,Grodzisk Mazowiecki Radońska,103,0,1,1,1
A,1040_1,1040_1,Warszawa Śródmieście WKD,1040,1,0,1,1
A,1041_1,1041_1,Grodzisk Mazowiecki Radońska,1041,0,1,1,1
A,1042_1,1042_1,Warszawa Śródmieście WKD,1042,1,0,1,1
A,1043_1,1043_1,Grodzisk Mazowiecki Radońska,1043,0,1,1,1
A,1044_1,1044_1,Warszawa Śródmieście WKD,1044,1,0,1,1
A,1045_1,1045_1,Grodzisk Mazowiecki Radońska,1045,0,1,1,1
A,1046_1,1046_1,Warszawa Śródmieście WKD,1046,1,0,1,1
A,1047_1,1047_1,Grodzisk Mazowiecki Radońska,1047,0,1,1,1
A,1048_1,1048_1,Warszawa Śródmieście WKD,1048,1,0,1,1
A,1049_1,1049_1,Grodzisk Mazowiecki Radońska,1049,0,1,1,1
A,104_1,104_1,Warszawa Śródmieście WKD,104,1,0,1,1
A,1050_1,1050_1,Warszawa Śródmieście WKD,1050,1,0,1,1
A,1051_1,1051_1,Grodzisk Mazowiecki Radońska,1051,0,1,1,1
A,1052_1,1052_1,Warszawa Śródmieście WKD,1052,1,0,1,1
A,1053_1,1053_1,Grodzisk Mazowiecki Radońska,1053,0,1,1,1
A,1054_1,1054_1,Warszawa Śródmieście WKD,1054,1,0,1,1
A,1055_1,1055_1,Grodzisk Mazowiecki Radońska,1055,0,1,1,1
A,1056_1,1056_1,Warszawa Śródmieście WKD,1056,1,0,1,1
A,1057_1,1057_1,Grodzisk Mazowiecki Radońska,1057,0,1,1,1
A,1058_1,1058_1,Warszawa Śródmieście WKD,1058,1,0,1,1
A,1059_1,1059_1,Grodzisk Mazowiecki Radońska,1059,0,1,1,1
A,105_1,105_1,Grodzisk Mazowiecki Radońska,105,0,1,1,1
A,1060_1,1060_1,Warszawa Śródmieście WKD,1060,1,0,1,1
A,1061_1,1061_1,Grodzisk Mazowiecki Radońska,1061,0,1,1,1
A,1062_1,1062_1,Warszawa Śródmieście WKD,1062,1,0,1,1
A,1063_1,1063_1,Grodzisk Mazowiecki Radońska,1063,0,1,1,1
A,1064_1,1064_1,Warszawa Śródmieście WKD,1064,1,0,1,1
A,1065_1,1065_1,Grodzisk Mazowiecki Radońska,1065,0,1,1,1
A,1066_1,1066_1,Warszawa Śródmieście WKD,1066,1,0,1,1
A,1067_1,1067_1,Grodzisk Mazowiecki Radońska,1067,0,1,1,1
